ID	HeroID	HeroHp	HeroSkill	HeroStrong	HeroLucky	Res	ResLucky	DECK	Dynamic	DrawNum	Rnd
604	10001	30	1001*2;1104*1;1201*1	6	30	1	10	0	S*gold*0*2*2;S*gold*1*1*2;C*gold*0*4*1;C*gold*1*3*2;S*null*0*7*1;S*null*1*7*1;	3	1
605	10001	30	1001*2;1104*1;1201*1	8	40	1	20	0	S*gold*0*2*2;S*gold*1*1*2;C*gold*0*4*1;C*gold*1*3*2;S*null*0*7*1;S*null*1*7*1;	3	1
606	10001	30	1001*2;1104*2;1201*2	10	50	1	20	0	S*gold*0*1*2;S*gold*1*1*2;S*gold*2*1*2;C*gold*0*4*1;C*gold*1*4*1;C*gold*2*1*2;S*null*0*5*1;S*null*1*5*1;S*null*2*2*2	3	1
607	10001	30	1001*3;1104*3;1201*2	12	60	1	20	20054;20054	S*gold*0*1*1;S*gold*1*1*1;S*gold*2*1*1;S*gold*4*1*2;C*gold*0*3*1;C*gold*1*4*1;C*gold*2*1*1;C*gold*3*1*1;S*null*0*2*1;S*null*1*5*1;S*null*2*5*1;S*null*3*1*2;	3	1
608	10001	30	1001*3;1104*3;1201*3	13	65	1	30	23005;23005	S*gold*0*1*1;S*gold*1*1*1;S*gold*2*1*1;S*gold*4*1*2;C*gold*0*3*1;C*gold*1*4*1;C*gold*2*1*1;C*gold*3*1*1;S*null*0*2*1;S*null*1*5*1;S*null*2*5*1;S*null*3*1*2;	0	0
609	10001	30	1001*3;1104*3;1201*3	14	65	1	30	20054;23005	S*gold*0*1*1;S*gold*1*1*1;S*gold*2*1*1;S*gold*4*1*2;C*gold*0*3*1;C*gold*1*4*1;C*gold*2*1*1;C*gold*3*1*1;S*null*0*2*1;S*null*1*5*1;S*null*2*5*1;S*null*3*1*2;	0	0
610	10001	30	1001*3;1104*3;1201*3	15	70	1	30	20057;20057	S*gold*0*1*1;S*gold*1*1*1;S*gold*2*1*1;S*gold*4*1*2;C*gold*0*3*1;C*gold*1*4*1;C*gold*2*1*1;C*gold*3*1*1;S*null*0*2*1;S*null*1*5*1;S*null*2*5*1;S*null*3*1*2;	0	0
701	10002	30	1002*2;1205*1;1204*1;	0	10	1	10	0	S*water*0*1*2;S*water*1*2*2;C*water*0*4*1;C*water*1*3*2;S*null*0*7*1;S*null*1*7*1;	3	1
702	10002	30	1002*2;1205*1;1204*1;	2	20	1	10	0	S*water*0*1*2;S*water*1*2*2;C*water*0*4*1;C*water*1*3*2;S*null*0*7*1;S*null*1*7*1;	3	1
703	10002	30	1002*2;1205*1;1204*1;	4	25	1	10	0	S*water*0*1*2;S*water*1*2*2;C*water*0*4*1;C*water*1*3*2;S*null*0*7*1;S*null*1*7*1;	3	1
704	10002	30	1002*2;1205*1;1204*1;	6	30	1	10	0	S*water*0*1*2;S*water*1*2*2;C*water*0*4*1;C*water*1*3*2;S*null*0*7*1;S*null*1*7*1;	3	1
705	10002	30	1002*2;1205*1;1204*1;	8	40	1	20	0	S*water*0*1*2;S*water*1*2*2;C*water*0*4*1;C*water*1*3*2;S*null*0*7*1;S*null*1*7*1;	3	1
706	10002	30	1002*2;1205*2;1204*2;	10	50	1	20	0	S*water*0*1*2;S*water*1*2*2;C*water*0*4*1;C*water*1*4*1;C*water*2*2*1;S*null*0*5*1;S*null*1*5*1;S*null*2*2*2;	3	1
707	10002	30	1002*3;1205*3;1204*2;	12	60	1	20	20059;20059	S*water*0*1*1;S*water*1*2*1;S*water*4*1*2;C*water*0*4*1;C*water*1*4*1;C*water*2*1*1;C*water*3*1*1;S*null*0*2*1;S*null*1*5*1;S*null*2*2*2;S*null*3*1*2;	3	1
708	10002	30	1002*3;1205*3;1204*3;	13	65	1	30	20058;20058	S*water*0*1*1;S*water*1*2*1;S*water*4*1*2;C*water*0*4*1;C*water*1*4*1;C*water*2*1*1;C*water*3*1*1;S*null*0*2*1;S*null*1*5*1;S*null*2*2*2;S*null*3*1*2;	0	0
709	10002	30	1002*3;1205*3;1204*3;	14	65	1	30	21005;21005	S*water*0*1*1;S*water*1*2*1;S*water*4*1*2;C*water*0*4*1;C*water*1*4*1;C*water*2*1*1;C*water*3*1*1;S*null*0*2*1;S*null*1*5*1;S*null*2*2*2;S*null*3*1*2;	0	0
710	10002	30	1002*3;1205*3;1204*3;	15	70	1	30	21005;20058	S*water*0*1*1;S*water*1*2*1;S*water*4*1*2;C*water*0*4*1;C*water*1*4*1;C*water*2*1*1;C*water*3*1*1;S*null*0*2*1;S*null*1*5*1;S*null*2*2*2;S*null*3*1*2;	0	0
5001	10002	30	0	0	0	1	0	0	S*water*0*1*2;S*water*1*2*2;S*null*0*4*2;S*null*1*3*2;C*water*0*3*2;C*water*1*2*2;	0	0
5002	10001	30	0	0	0	1	0	0	S*gold*0*2*2;S*gold*1*1*2;C*gold*0*2*2;C*gold*1*2*2;S*null*0*5*2;S*null*1*3*2;	0	0
5003	10003	30	0	0	0	1	0	0	S*fire*0*1*2;S*fire*1*2*2;C*fire*0*3*2;C*fire*1*2*2;S*null*0*4*2;S*null*1*3*2;	0	0
